step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,customer_id,account_age_days,high_risk_country,billing_country,is_disposable_email,customer_name,billing_city,email,is_new_device,shipping_billing_mismatch,num_failed_payment_attempts,browser,device_os,device_id,ip_billing_distance_km,hour_of_day,day_index,is_night,account_txn_total,account_txn_index,time_since_last_hours,txn_count_last_24h
345,CASH_IN,138545.71,C1941974629,5527044.34,5665590.05,C2062638863,964082.38,825536.67,0,0,U166604,1801,0,GB,0,Kimberly Martin,Jasminshire,jessica28@yahoo.com,0,0,0,Edge,Windows,D83114457,127.9,9,14,0,6,4,91,0
33,CASH_IN,228110.63,C1359266946,8500948.88,8729059.51,C618390656,3188638.83,3160901.42,0,0,U12459,188,0,VN,0,Michael Hernandez,Peterside,aaroncaldwell@outlook.com,0,0,1,Edge,macOS,D71528623,25.1,9,1,0,4,0,-1,0
278,CASH_OUT,249835.36,C663069516,0.0,0.0,C1274744574,936473.61,1186308.97,0,0,U103066,2148,0,PH,0,Caitlin Ramos,Chapmanland,murrayjulie@yahoo.com,0,1,0,Samsung Internet,Linux,D15854584,264.5,14,11,0,4,3,115,0
210,CASH_IN,83255.12,C1401515479,5032759.98,5116015.1,C1952527019,403933.03,320677.91,0,0,U66679,235,0,VN,0,Clayton Simpson,Tateside,robertmedina@yahoo.com,0,0,0,Opera,Linux,D64924281,12.1,18,8,0,7,3,9,1
143,CASH_OUT,381604.61,C1670474429,0.0,0.0,C2017796139,3986070.05,4367674.65,0,0,U8180,1571,0,PH,0,Gary Steele Jr.,Aprilhaven,fishermichael@yahoo.com,0,0,0,Samsung Internet,Android,D66878057,405.7,23,5,0,5,0,-1,0
399,CASH_OUT,159620.74,C451428101,6209.0,0.0,C378805124,4583553.56,4743174.3,0,0,U13579,308,0,US,0,Derek Campbell,Snowchester,sheilawilliams@yahoo.com,1,0,1,Opera,Android,D93714507,349.2,15,16,0,8,7,19,1
402,PAYMENT,17931.79,C1648378091,19776.2,1844.41,M1139228566,0.0,0.0,0,0,U156390,1755,0,US,0,Wendy Walls,Stuartview,boonejoseph@proton.me,0,0,0,Chrome,macOS,D99810743,79.1,18,16,0,8,7,115,0
210,PAYMENT,5678.25,C1558503270,30561.0,24882.75,M203444841,0.0,0.0,0,0,U122252,1713,0,DE,0,Samantha Gray,Lauraberg,sara55@gmail.com,1,0,0,Safari,Windows,D50186917,106.9,18,8,0,6,3,8,2
226,PAYMENT,18421.11,C765547212,310223.0,291801.89,M287438402,0.0,0.0,0,0,U137272,131,0,US,0,Roberto Holloway,North Gavin,monica02@proton.me,0,0,0,Opera,iOS,D91747574,19.6,10,9,0,8,5,70,0
369,CASH_OUT,62607.48,C125422025,0.0,0.0,C1379210117,1342551.93,1405159.41,0,0,U26342,524,0,US,0,Jessica Maldonado,South Meagan,john99@icloud.com,0,1,0,Edge,Windows,D62387440,339.2,9,15,0,7,4,42,0
324,PAYMENT,9358.5,C1604109590,0.0,0.0,M80755525,0.0,0.0,0,0,U102664,233,0,BR,0,Audrey Newman,Edwinville,meganmcguire@gmail.com,0,0,1,Opera,Linux,D32116168,18.5,12,13,0,8,6,17,1
289,PAYMENT,9168.63,C982904497,104441.0,95272.37,M953323039,0.0,0.0,0,0,U162311,111,0,BR,0,Susan Phillips,Lake Nancy,ramirezmichelle@proton.me,1,1,0,Samsung Internet,Android,D57362018,575.5,1,12,1,3,2,61,0
161,CASH_OUT,86821.14,C738235228,20263.0,0.0,C1536990547,1858371.88,1922398.03,0,0,U146892,197,1,ID,0,Chelsea Charles,New Lauramouth,edwardrodriguez@proton.me,1,0,2,Samsung Internet,macOS,D39508954,194.8,17,6,0,4,1,130,0
402,CASH_IN,186181.88,C1091808075,102077.0,288258.88,C1604422764,1030530.41,844348.52,0,0,U116138,211,0,DE,1,Nancy Miller,Carlaside,josephangela@tempmail.com,1,0,0,Firefox,iOS,D16849874,950.3,18,16,0,2,1,392,0
374,CASH_OUT,4588.63,C1382292197,19360.0,14771.37,C795904845,4454844.14,4224823.4,0,0,U59115,782,0,DE,0,Brett Calhoun,Kempburgh,conwaywilliam@proton.me,1,0,0,Opera,Android,D41494514,266.8,14,15,0,5,2,47,0
140,CASH_IN,19971.69,C1581730238,50665.0,70636.69,C66893623,2007373.66,1987401.97,0,0,U177518,596,0,US,0,Melissa Ho,Lake Amandaborough,qmedina@icloud.com,0,0,0,Firefox,Android,D56115680,113.0,20,5,0,3,1,127,0
264,CASH_OUT,113755.45,C1881150359,0.0,0.0,C1044194329,599325.2,713080.64,0,0,U25322,547,0,US,0,Brian Rogers,Jacksonfort,jacob23@gmail.com,0,0,1,Firefox,iOS,D52274140,13.2,0,11,1,5,1,243,0
250,TRANSFER,320282.65,C181000443,0.0,0.0,C413132209,1920435.65,1806991.77,0,0,U196776,616,0,US,0,Terry Decker,Vegahaven,jessicaross@proton.me,0,0,0,Chrome,Windows,D74887384,58.7,10,10,0,6,2,20,1
156,CASH_OUT,347131.01,C819770068,508936.88,161805.87,C89822982,1714777.13,2061908.14,0,0,U386,1347,0,IN,0,Scott Henderson,Arnoldside,cheryl63@icloud.com,1,0,0,Firefox,macOS,D21937139,333.0,12,6,0,6,0,-1,0
94,CASH_OUT,127123.63,C556138398,73257.0,0.0,C1299623133,540476.82,667600.44,0,0,U144382,223,0,GB,0,Marc Johnson,South Emilyhaven,kent12@icloud.com,1,0,0,Edge,Windows,D32283659,322.6,22,3,0,1,0,-1,0
380,PAYMENT,9153.77,C437140921,200640.56,191486.79,M1798568355,0.0,0.0,0,0,U16151,131,0,FR,0,Terry Gross,Denisefort,ryan28@gmail.com,0,0,0,Opera,Windows,D70644524,431.5,20,15,0,3,2,9,1
12,CASH_OUT,70659.3,C2025361365,0.0,0.0,C264843581,3090060.38,3055443.74,0,0,U92727,607,1,RU,0,Crystal Potts,Adamside,peterchavez@yahoo.com,0,0,1,Samsung Internet,macOS,D57047198,115.1,12,0,0,9,0,-1,0
10,CASH_OUT,98943.6,C992743452,0.0,0.0,C1616930619,307941.94,0.0,0,0,U149020,403,0,VN,0,Diana Brown,Lake Jessicaland,warrenmichael@yahoo.com,0,0,0,Samsung Internet,Android,D67843268,69.4,10,0,0,14,0,-1,0
39,CASH_OUT,221424.67,C1622724318,135.88,0.0,C708688171,4248756.4,4887699.2,0,0,U96262,812,0,GB,0,Sherri Martinez,North William,kevin96@icloud.com,0,0,0,Edge,Android,D24211405,112.3,15,1,0,8,1,26,0
300,CASH_OUT,10088.79,C890066576,28014.0,17925.21,C1735814942,595.33,10684.12,0,0,U52055,1026,0,VN,0,Kayla Bond,Rodriguezbury,kristenwood@icloud.com,0,0,0,Firefox,Windows,D86805447,329.3,12,12,0,4,3,64,0
309,CASH_OUT,32997.79,C18016020,99569.0,66571.21,C867724663,1690127.86,1723125.65,0,0,U63677,240,0,US,0,Gabrielle Schaefer,Lake Carol,michael14@hotmail.com,0,0,0,Chrome,iOS,D23851317,630.1,21,12,0,5,1,298,0
44,PAYMENT,15416.03,C1819827020,15637.0,220.97,M428011460,0.0,0.0,0,0,U35823,316,0,FR,0,Ann Richardson,Berryborough,amberclayton@outlook.com,0,0,0,Chrome,macOS,D40287531,76.9,20,1,0,5,2,9,1
236,CASH_IN,211801.77,C1738093276,526406.56,738208.33,C1951631727,2054884.28,1843082.51,0,0,U67138,173,0,PH,0,Jamie Hill,New Kimberlyshire,sanfordgabrielle@yahoo.com,0,0,0,Chrome,macOS,D83044708,52.2,20,9,0,5,1,28,0
331,CASH_IN,173012.52,C486980302,3432497.18,3605509.7,C788887674,270817.17,97804.66,0,0,U27414,252,0,DE,0,Cole Cox,Josephtown,hawkinsvalerie@yahoo.com,1,0,0,Opera,Android,D60263607,65.3,19,13,0,5,4,2,1
490,PAYMENT,1768.83,C1458741020,0.0,0.0,M366249014,0.0,0.0,0,0,U199633,153,0,VN,0,Ann Marshall,Port Dwaynebury,nicolesmith@yahoo.com,0,0,0,Firefox,Windows,D95064595,338.2,10,20,0,8,7,190,0
375,PAYMENT,63987.03,C246172322,0.0,0.0,M343507019,0.0,0.0,0,0,U134960,475,0,BR,0,John Obrien,North Juliebury,gwoods@proton.me,0,0,0,Edge,Android,D44808217,66.5,15,15,0,8,4,18,1
683,CASH_OUT,63013.04,C1347258816,611.0,0.0,C140801683,92826.72,155839.76,0,0,U55795,460,0,VN,0,Danielle Johns,Christianview,alexander04@yahoo.com,0,1,0,Edge,macOS,D20303077,484.5,11,28,0,8,7,310,0
351,PAYMENT,7396.98,C1015797967,0.0,0.0,M82057947,0.0,0.0,0,0,U67307,858,0,GB,0,Christina Henson,South Brianna,kendra57@gmail.com,0,0,0,Opera,macOS,D28482467,69.7,15,14,0,5,3,46,0
370,CASH_OUT,28806.19,C1379722373,0.0,0.0,C1825866177,703169.71,731975.9,0,0,U138207,743,1,CN,0,Michelle Payne,Williamsberg,david44@outlook.com,0,0,0,Safari,Linux,D39477737,553.9,10,15,0,5,4,16,1
326,PAYMENT,15879.12,C1227813319,0.0,0.0,M1689827384,0.0,0.0,0,0,U82321,218,0,US,0,Andrew Roman,New Allisonburgh,dillonstacy@outlook.com,1,0,0,Chrome,iOS,D49636700,510.9,14,13,0,5,2,117,0
213,CASH_IN,75354.61,C1718804648,9194169.3,9269523.91,C1277485103,367887.42,292532.81,0,0,U159145,189,0,GB,0,Kimberly Ortega,Weaverside,gcarr@icloud.com,0,1,0,Chrome,iOS,D13686333,219.6,21,8,0,3,1,193,0
259,CASH_IN,245014.6,C833467350,8224175.72,8469190.31,C1171803243,3831192.19,3586177.59,0,0,U86149,732,0,BR,0,Grant Matthews,East Kimland,qjones@gmail.com,0,0,0,Edge,iOS,D82804225,171.2,19,10,0,5,2,97,0
44,PAYMENT,6183.18,C582733547,59938.0,53754.82,M1673752317,0.0,0.0,0,0,U74006,1096,0,DE,0,Carrie Baker,South Ryanhaven,fdaniels@icloud.com,0,0,0,Edge,iOS,D88305347,51.5,20,1,0,10,0,-1,0
328,CASH_IN,130620.13,C100793261,17069997.3,17200617.43,C332029906,3591761.36,3461141.23,0,0,U142541,1753,0,BR,0,Pamela Brown,North Tara,parrishderrick@proton.me,0,0,0,Samsung Internet,iOS,D76903574,61.9,16,13,0,11,9,3,2
39,PAYMENT,11034.53,C614738111,5051.0,0.0,M27881434,0.0,0.0,0,0,U109542,733,0,VN,0,James Noble,Bensontown,clarkchristopher@hotmail.com,0,1,1,Opera,iOS,D98113636,66.2,15,1,0,6,1,21,1
401,CASH_IN,179394.03,C1203167660,5983598.79,6162992.83,C1668585937,848357.79,668963.76,0,0,U92308,1142,0,GB,0,Carolyn Cook,South Michelle,anna54@outlook.com,0,0,0,Opera,Windows,D83203881,316.4,17,16,0,9,8,8,1
329,CASH_IN,245453.95,C531447867,236.0,245689.95,C1480418333,244659.95,0.0,0,0,U56916,2046,0,VN,0,Michael Graham,North Rebeccaborough,castanedakevin@icloud.com,0,0,0,Firefox,iOS,D14559844,1279.9,17,13,0,7,5,27,0
214,CASH_IN,121294.44,C80304312,22895.0,144189.44,C86041607,0.0,0.0,0,0,U31986,982,0,GB,0,Michelle Bernard,Lake Amyshire,jacksonjennifer@gmail.com,0,0,0,Opera,macOS,D79396937,122.5,22,8,0,6,0,-1,0
206,PAYMENT,7092.02,C526440391,1529.0,0.0,M151202181,0.0,0.0,0,0,U189476,1308,0,US,0,Elizabeth Ross,South Lisabury,shannon58@hotmail.com,0,0,1,Firefox,macOS,D20669278,83.9,14,8,0,4,2,17,1
354,CASH_OUT,36743.45,C642006755,33243.0,0.0,C149891216,47734.95,84478.4,0,0,U30328,127,0,VN,0,Gregory Bridges,Alexanderburgh,byrdashley@outlook.com,0,0,1,Samsung Internet,iOS,D15752531,16.8,18,14,0,5,3,95,0
187,CASH_OUT,44595.78,C1052658380,45979.18,1383.39,C1368880576,146712.25,191308.03,0,0,U71075,206,0,GB,1,Melissa Grant,North Amybury,qgomez@trashmail.com,0,0,0,Chrome,Linux,D46864118,21.6,19,7,0,6,0,-1,0
324,CASH_OUT,146975.43,C1668550825,0.0,0.0,C825104338,2045150.59,2192126.02,0,0,U105397,513,0,FR,0,Natasha Morris,Lake Michele,hfuentes@hotmail.com,0,0,1,Opera,Linux,D32322154,8.1,12,13,0,8,3,185,0
546,CASH_OUT,263157.73,C1327533001,0.0,0.0,C44849506,7694505.56,7957663.29,0,0,U102550,256,0,FR,0,Rebecca Frazier,Robertbury,edward52@yahoo.com,0,0,1,Edge,Android,D42053966,635.4,18,22,0,5,4,22,1
351,CASH_OUT,44363.78,C584526380,0.0,0.0,C471925379,630036.8,674400.58,0,0,U127130,636,0,US,0,Cindy Horton,South Kevinton,jerry79@gmail.com,0,1,0,Chrome,Windows,D58651751,229.1,15,14,0,7,4,19,1
332,CASH_IN,43344.05,C889640736,1290446.63,1333790.68,C1806793275,2444245.37,2400901.32,0,0,U56874,699,0,PH,0,Darrell Miller,East Oliviafurt,mcclurepeggy@icloud.com,0,0,0,Chrome,macOS,D44506187,192.2,20,13,0,3,1,176,0
249,PAYMENT,7249.93,C1204396269,0.0,0.0,M1036460329,0.0,0.0,0,0,U18202,401,0,US,0,Monica Walter,Danielshaven,vmontgomery@outlook.com,1,0,0,Opera,Linux,D12014525,387.4,9,10,0,8,6,15,2
38,CASH_IN,57541.59,C1473991070,2841167.21,2898708.8,C199299242,95852.65,38311.06,0,0,U58509,167,0,US,0,Michael Townsend,Tracifort,brent15@yahoo.com,0,0,0,Chrome,Windows,D19926417,185.3,14,1,0,6,1,24,1
426,CASH_OUT,169318.8,C332407270,115.0,0.0,C469411834,49280.84,218599.64,0,0,U81038,240,0,VN,0,Mitchell White,Lake Todd,matthew23@proton.me,1,0,0,Safari,macOS,D70434367,348.3,18,17,0,7,6,32,0
378,CASH_IN,237472.04,C1855441654,5831247.07,6068719.11,C764749626,3455289.36,3217817.32,0,0,U108205,369,0,PH,0,Natalie Wright,Port Timothy,daniel54@icloud.com,0,1,1,Edge,Windows,D37425635,217.1,18,15,0,6,3,128,0
406,CASH_OUT,160983.1,C1040261021,0.0,0.0,C1902655590,1938925.89,2099909.0,0,0,U42137,345,0,DE,0,Sarah Rojas,Howellbury,patrick84@yahoo.com,0,0,0,Samsung Internet,Android,D84005346,235.2,22,16,0,8,6,5,2
280,PAYMENT,11507.49,C158859675,0.0,0.0,M658042989,0.0,0.0,0,0,U142767,266,0,US,0,Amber Shaw,Lake Jeffreyshire,vleonard@hotmail.com,0,0,1,Edge,iOS,D51020134,37.5,16,11,0,4,3,28,0
43,CASH_IN,12221.61,C814326123,8801054.34,8813275.96,C1960726340,2173151.63,2160930.02,0,0,U76999,609,0,IN,0,Brian Brown,Martinport,troy92@yahoo.com,0,0,1,Samsung Internet,macOS,D89576854,256.4,19,1,0,6,1,27,0
403,CASH_OUT,75327.73,C619451595,0.0,0.0,C847039222,2202489.95,2277817.69,0,0,U3639,189,0,IN,0,Mary Barnes,Lake Phillipfort,alec20@icloud.com,0,0,1,Firefox,iOS,D47964585,29.4,19,16,0,6,5,29,0
17,CASH_OUT,375210.05,C670823451,11059.0,0.0,C1536541115,0.0,463784.26,0,0,U101241,422,0,GB,0,Anthony Thomas,North Kimberly,justinbutler@outlook.com,0,0,3,Chrome,Windows,D59238296,235.0,17,0,0,5,0,-1,0
500,PAYMENT,2320.16,C1862922311,0.0,0.0,M1158194277,0.0,0.0,0,0,U84605,3650,0,GB,0,Elizabeth Davis,Deborahmouth,garynichols@proton.me,1,0,0,Safari,Android,D59102783,27.4,20,20,0,5,3,144,0
154,DEBIT,6510.24,C160332242,1559.0,0.0,C298681821,1111392.32,1117902.56,0,0,U24851,137,0,IN,0,David Vaughn,Sonyastad,jmccann@gmail.com,0,0,0,Opera,Windows,D73143301,120.9,10,6,0,8,3,13,1
284,CASH_IN,199312.11,C1440525897,20703660.97,20902973.08,C390635742,16350824.08,16151511.97,0,0,U96336,244,0,GB,0,Cindy Moore,Lake Joseph,michelle32@hotmail.com,0,1,0,Edge,macOS,D77566535,63.8,20,11,0,5,2,53,0
355,CASH_OUT,25458.69,C1086990994,21546.0,0.0,C622160496,5618312.99,5932571.0,0,0,U6816,357,0,BR,0,Matthew Rice,Port Travis,jessicawise@gmail.com,0,0,1,Opera,Windows,D40888139,63.1,19,14,0,5,4,80,0
371,CASH_OUT,319023.14,C1147976497,241.0,0.0,C720138566,0.0,319023.14,0,0,U181868,3650,1,CN,0,Kara Martin,Yateston,mariawilliams@hotmail.com,0,0,0,Safari,Windows,D11722397,78.6,11,15,0,5,4,137,0
282,CASH_OUT,33462.0,C519638039,51582.0,18120.0,C1657390496,0.0,33462.0,0,0,U9049,1354,0,BR,0,Veronica Austin,North Angela,rebeccajenkins@gmail.com,0,0,0,Opera,iOS,D79002968,46.2,18,11,0,5,2,68,0
354,CASH_OUT,33744.72,C2118266980,0.0,0.0,C1467026661,35353.29,69098.01,0,0,U130545,330,0,FR,0,Charles Wright,Rogerville,evan82@proton.me,0,0,0,Edge,iOS,D73444210,120.4,18,14,0,7,5,7,1
305,CASH_OUT,128444.24,C1613048823,5527.0,0.0,C896117823,146311.73,274755.97,0,0,U70265,529,0,US,0,Gloria Edwards,Georgestad,brandonross@proton.me,0,0,1,Safari,macOS,D26249086,301.6,17,12,0,6,3,74,0
231,PAYMENT,12444.59,C1601042931,10755.0,0.0,M1733325400,0.0,0.0,0,0,U95310,452,0,DE,0,Sarah Evans,New Morgan,kevinjones@hotmail.com,0,0,0,Samsung Internet,macOS,D35954181,35.3,15,9,0,5,3,44,0
469,CASH_IN,116600.19,C1802947028,4384898.37,4501498.55,C1223008719,1057530.02,940929.83,0,0,U32282,332,0,DE,0,Keith Grant,Port Madelineport,humphreyellen@hotmail.com,0,0,0,Samsung Internet,Windows,D51267897,203.7,13,19,0,5,3,147,0
372,PAYMENT,13765.75,C129105234,74921.94,61156.2,M1459477080,0.0,0.0,0,0,U197252,410,0,FR,0,Marcus Collins,Mooreton,klopez@proton.me,0,0,2,Safari,Android,D65409570,100.3,12,15,0,6,5,24,1
233,CASH_OUT,109673.28,C1237366299,0.0,0.0,C817093049,304692.99,414366.27,0,0,U42508,968,0,FR,0,Dr. Mark Anderson,Shelleystad,justinkirk@yahoo.com,0,0,1,Opera,Linux,D87897909,37.0,17,9,0,5,2,53,0
275,CASH_OUT,111356.13,C400894239,0.0,0.0,C125828872,256973.12,368329.26,0,0,U34717,545,0,VN,0,Kelly Cooke,Lake Michael,patrick45@yahoo.com,0,0,0,Opera,Linux,D12698245,66.2,11,11,0,6,4,60,0
43,CASH_IN,56673.27,C1752639375,123030.0,179703.27,C373776370,6940106.32,6883433.05,0,0,U146668,337,0,IN,0,Adrienne Mosley,Lake Christina,scottraymond@outlook.com,0,0,0,Edge,iOS,D19186030,10.3,19,1,0,7,1,34,0
281,CASH_OUT,153436.85,C2115545347,51169.0,0.0,C1596181561,237058.87,390495.73,0,0,U29371,1780,0,US,0,Julie Davis,Castrostad,williamsdiane@gmail.com,0,1,0,Safari,macOS,D41244837,138.7,17,11,0,6,2,117,0
191,CASH_OUT,92079.01,C456600264,0.0,0.0,C1662206263,159677.36,251756.37,0,0,U73641,2295,0,IN,0,Audrey Anderson,Port Coreychester,dturner@gmail.com,0,0,1,Safari,Android,D95901859,237.0,23,7,0,7,2,158,0
584,TRANSFER,597806.2,C771874815,597806.2,0.0,C339883956,0.0,0.0,1,0,U166505,130,0,BR,0,Terri Hopkins,Hardingmouth,stephenanderson@proton.me,1,0,0,Safari,Windows,D77331816,36.0,8,24,0,5,4,36,0
163,CASH_IN,106939.36,C852542722,2480.0,109419.36,C133124325,940778.89,833839.53,0,0,U15154,229,0,BR,0,Tony Graham,New Shawn,saramartin@yahoo.com,0,0,0,Opera,Windows,D59602270,25.8,19,6,0,4,2,20,1
93,PAYMENT,30489.97,C955026826,0.0,0.0,M1127998721,0.0,0.0,0,0,U15109,941,0,US,0,Rachel Brewer,Williamberg,daniel09@yahoo.com,1,0,2,Edge,Windows,D27766588,346.4,21,3,0,9,1,58,0
